[p.sfm] v2212	Sort	S	M	P	F	C	Description	U2.3	U2.35	U2.4	U2.404	U3.0	V2211	Special	Base	Face	Vert	Horz	Extra	X2	.	Example
m	Z			1			Flush Left Margin Paragraph	27	30	30	S	X	1			B40	L10	M	Default			
f ... f*	X				1		Footnote	41	44	44		X	1	Convert to Footnote	m	C76	F10	M				
im	X			1			Intro Margin Paragraph	12	15	15		X	1		m	S40		M	SPN			
iq	X			1			Intro Poetry Paragraph	14	17	17		X	1		im	S40		C				
mt	X			1			Major Title	18	21	21	S	X	1		m	T50	L90	CB	KPN	SPN		
q	X			1			Poetry Paragraph	34	37	37	S	X	1		m			C	QVS			
[[ ... ]] ($)	W	1	1			1	Verse Text Placeholder [p.sfm]						0				R00		Clear			
[{ ... }] ($)	W	1	1			1	Tag Variable Text Placement marker [p.sfm]						0	Insert contents of variable named here			R00		Clear			
cat ... cat* ($)	V	1	1			1	Category	76	86	88		E	0	TextVariable: character			R00		Clear			
cn ... cn* ($)	V	1				1	Chapter Number in Header [p.sfm]						0.9	created in converter		T50				FPL		
cp ( $)	V	1					Published Chapter	24	27	27		X	1		rem							
fig0 (&)	V		1	1			Figure Dimensions [p.sfm]						1	TextVariable: 	rem							
fig1 (&)	V		1	1			Figure Description [USFM]						1	TextVariable: 	rem							
fig2 (&)	V		1	1			Figure Filename [USFM]						1	TextVariable: 	rem							
fig3 (&)	V		1	1			Figure Scripture Range [USFM]						1	TextVariable: 	rem							
fig4 (&)	V		1	1			Figure Rights [USFM]						1	TextVariable: 	rem							
fig5 (&)	V		1	1			Figure Caption [USFM]						1	TextVariable: 	rem							
fig6 (&)	V		1	1			Figure Reference [USFM]						1	TextVariable: 	rem							
fig7 (&)	V		1	1			Figure Horiz Dimension [p.sfm]						1	TextVariable: 	rem							
fig8 (&)	V		1	1			Figure Vertical Dim [p.sfm]						1	TextVariable: 	rem							
fig9 (&)	V		1	1			Figure Data [p.sfm]						1	TextVariable: 	rem							
h (&)	V		1	1			Header Text [USFM]				S	X	1	TextVariable: paragraph	rem							
h0 (&)	V		1	1			Header Even Page Outside [p.sfm]					D	1	TextVariable: paragraph	rem							
h1 (&)	V		1	1			Header Odd Page Outside [p.sfm]	9	9	9	S	D	1	TextVariable: paragraph	rem							
h2 (&)	V		1	1			Header Even Page Inside  [p.sfm]	9	9	9	S	D	1	TextVariable: paragraph	rem							
h3 (&)	V		1	1			Header Odd Page Inside [p.sfm]	9	9	9	S	D	1	TextVariable: paragraph	rem							
h4 (&)	V		1	1			Header Even Page Center [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
h5 (&)	V		1	1			Header Odd Page Center [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
h6 (&)	V		1	1			Footer Even Page Outside [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
h7 (&)	V		1	1			Footer Odd Page Outside [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
h8 (&)	V		1	1			Footer Even Page Inside [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
h9 (&)	V		1	1			Footer Odd Page Inside [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
id (&)	V		1	1			Project ID-complete field	8	8	8		X	0.7	TextVariable: paragraph	rem				PB			\id GEN ENG-US (p.sfm) - [GTP] Galilee Translation Project 2021[CC0] Hackett [7]
id0 (&)	V		1	1			Project ID-File ID [USFM]	8	8	8		X	0.5	TextVariable: paragraph	rem				PB			
id1 (&)	V		1	1			Project ID-ISO639 Language [p.sfm]	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id2 (&)	V		1	1			Project ID-ISO3166 Country [p.sfm]	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id3 (&)	V		1	1			Project ID-Tagging Language [p.sfm]	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id4 (&)	V		1	1			Project ID-Acronym (3Letter) [p.sfm]	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id5 (&)	V		1	1			Project ID Title [p.sfm]	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id6 (&)	V		1	1			Project ID Text Freeze Date [p.sfm]	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id7 (&)	V		1	1			Project ID Rights Code [p.sfm] (creative commons)	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id8 (&)	V		1	1			Project ID Rights Owner [p.sfm] (of final work)	8	8	8			0.5	TextVariable: paragraph	rem				PB			
id9 (&)	V		1	1			Project ID Status Level [p.sfm] (1-7 p.sfm publishing status, not 1-3 USFM community acceptance.)	8	8	8			0.5	TextVariable: paragraph	rem				PB			
ide (&)	V		1	1			Project encoding	8	8	8		X	1	TextVariable: paragraph	rem							
periph (&)	V		1	1			Peripheral ID-Full field	56	59	61		X	0.7	TextVariable: paragraph	rem				SPN	PB		
periph0 (&)	V		1	1			Peripheral ID Code [USFM]	56	59	61		N	0.7	TextVariable: paragraph	rem				SPN	PB		
periph1 (&)	V		1	1			Peripheral Name [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph2 (&)	V		1	1			Peripheral Description [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph3 (&)	V		1	1			Peripheral Variable [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph4 (&)	V		1	1			Peripheral Variable [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph5 (&)	V		1	1			Peripheral Variable [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph6 (&)	V		1	1			Peripheral Variable [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph7 (&)	V		1	1			Peripheral Variable [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph8 (&)	V		1	1			Peripheral Variable [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
periph9 (&)	V		1	1			Peripheral Variable [p.sfm]	56	59	61			0.7	TextVariable: paragraph	rem				SPN	PB		
qvs ... ($)	V	1				1	Backspace v in poetry [p.sfm]						0						TQV			
rem (&)	V		1	1			Remark	9	9	9		X	1	USFM Notes (hidden)	m	T50	R00	M0	Clear			
sts (&)	V		1	1			Project status	8	8	8		X	1	TextVariable: paragraph	rem							
usfm (&)	V		1	1			Version declaration [USFM]					N	1	TextVariable: paragraph	rem							
vn … vn ($)	V	1		1		1	Verse Number in Header [p.sfm]						0.9	created in converter		T50				FPL		
_ [ ... ]($)	S	1				1	Styled space after verse [p.sfm]	25					0.4	no break		B92						
// ... ($)	S	1				1	Optional breakpoint	53	56	56			0.4	rest of Paragraph >  nb space (~)								
~ [ ... ]	S	1				1	Non-breaking space Character						1	Replace with nbsp					NB	Clear		
c (.) ( $)	S	1	1	1			Chapter Number	23	26	26			1	Drop Caps	m				DC			
col	S		1	1			Figure in column [p.sfm]	54	57	57			0.5		m			C				
qs ... qs*	S	1				1	Selah	35	38	38			0.4	need \u0008 before style (shift-tab)		B41						
span	S		1	1			Figure spans columns [p.sfm]	54	57	57			0.5	LO: start 1 column section	m			CB	SPN			
v (.) ( $)	S	1				1	Verse Number	25	28	28			1	1 word style		S60			SUP	FPL		
vp ... vp* ( $)	S	1				1	Published Verse	26	29	29			0.8	untested			B10		Clear			
fig ... fig* ($)	R	1	1			1	"Illustration [p.sfm]
desc(H x V)|url|cols|na|src|cap|ref"	54	57	57			0.5	Insert Illustration								\pc \fig Desc1(200-8 x 100-9pt0)|Url-1|Span-2|LocRange-3|Rights-4|Caption-5|Ref-6\fig*
jmp ...|...jmp*	R					1	jump to target within document					N	0.5	NEEDS pipe handling								
toc (&)	R		1	1			TOC Major Section [p.sfm]	O	O	O	O	O	1	TextVariable: paragraph	rem							
toc0 (&)	R		1	1			TOC Subsection [p.sfm]						1	TextVariable: paragraph	rem							
toc1 (&)	R		1	1			TOC Long Book Name [USFM]	9	9	9			1	TextVariable: paragraph	rem							
toc2 (&)	R		1	1			Short TOC text [USFM]	9	9	9			1	TextVariable: paragraph	rem							
toc3 (&)	R		1	1			TOC Book Abbreviation [USFM]	9	9	9			1	TextVariable: paragraph	rem							
toc4 (&)	R		1	1			Published Number Chapters [p.sfm]						1	TextVariable: paragraph	rem							
toc5 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toc6 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toc7 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toc8 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toc9 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toca (&)	R		1	1			Alt Lang TOC Major Section [p.sfm]						1	TextVariable: paragraph	rem							
toca0 (&)	R		1	1			Alt Lang TOC Subsection [p.sfm]						1	TextVariable: paragraph	rem							
toca1 (&)	R		1	1			Alt TOC Long Name [USFM]	9	9	9			1	TextVariable: paragraph	rem							
toca2 (&)	R		1	1			Alt TOC Short Name [USFM]	9	9	9			1	TextVariable: paragraph	rem							
toca3 (&)	R		1	1			Alt TOC Book Abbr [USFM]	9	9	9			1	TextVariable: paragraph	rem							
toca4 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toca5 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toca6 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toca7 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toca8 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
toca9 (&)	R		1	1			TOC Data [p.sfm]						1	TextVariable: paragraph	rem							
ts	R		1	1			Translator's Chunk Marker					N	1		rem							
w ...|... w*	R	1	1			1	Wordlist Marker w metadata	55	58	58		N	0.5	NEEDS pipe handling								
b	P			1			Blank Line	33	36	36			1		rem		B10					
b0	P			1			Blank Line-50% leading [p.sfm]						1		rem		R05					
b1	P			1			Blank Line-1x leading [p.sfm]						1		rem		B10					
b2	P			1			Blank Line-2x leading [p.sfm]						1		rem		B20					
b3	P			1			Blank Line-3x leading [p.sfm]						1		rem		B30					
b4	P			1			Blank Line-4x leading [p.sfm]						1		rem		B40					
b5	P			1			Blank Line-5x leading [p.sfm]						1		rem		B50					
b6	P			1			Blank Line-6x leading [p.sfm]						1		rem		B60					
b7	P			1			Blank Line-7x leading [p.sfm]						1		rem		B70					
b8	P			1			Blank Line-8x leading [p.sfm]						1		rem		B80					
b9	P			1			Blank Line-9x leading [p.sfm]						1		rem		B90					
cd	P			1			Chapter Description	25	28	28			1		m	S50	L08	CJ	FPL			
cl ( $)	P	1		1			Chapter Label	24	27	27		X	0.8	If exist, \c stays up.	m	T70	S20	C	VC1	FPL		
cls	P			1			Closing	31	34	34			1		m							
d	P			1			Directives Descriptive Title	22	25	25			1		m	B51	L08	CJ				
erq	P			1			Study Reflective Question Pargraph	77	D				0.5		im	S40	F10					
ib	P			1			Intro Blank Line	14	17	17			1		rem		B10					
ib0	P			1			Blank Line-50% leading [p.sfm]						1		rem		R05					
ib1	P			1			Blank Line-1x leading [p.sfm]						1		rem		B10					
ib2	P			1			Blank Line-2x leading [p.sfm]						1		rem		B20					
ib3	P			1			Blank Line-3x leading [p.sfm]						1		rem		B30					
ib4	P			1			Blank Line-4x leading [p.sfm]						1		rem		B40					
ib5	P			1			Blank Line-5x leading [p.sfm]						1		rem		B50					
ib6	P			1			Blank Line-6x leading [p.sfm]						1		rem		B60					
ib7	P			1			Blank Line-7x leading [p.sfm]						1		rem		B70					
ib8	P			1			Blank Line-8x leading [p.sfm]						1		rem		B80					
ib9	P			1			Blank Line-9x leading [p.sfm]						1		rem		B90					
ie	P			1			Intro End	17	20	20			1		rem		B10					
iex	P			1			Explanation/Bridge	16	19	19			1		m	B41		CB				
ili	P			1			Intro List	15	18	18			1		im			H1				
ili0	P			1			Intro List Lvl 0						1		im			H0				
ili1	P			1			Intro List Lvl 1	15	18	18			1		im			H1				
ili2	P			1			Intro List Lvl 2	15	18	18			1		im			H2				
ili3	P			1			Intro List Lvl 3	15	18	18			1		im			H3				
ili4	P			1			Intro List Lvl 4	15	18	18			1		im			H4				
ili5	P			1			Intro List Lvl 5	15	18	18			1		im			H5				
ili6	P			1			Intro List Lvl 6	15	18	18			1		im			H6				
ili7	P			1			Intro List Lvl 7	15	18	18			1		im			H7				
ili8	P			1			Intro List Lvl 8	15	18	18			1		im			H8				
ili9	P			1			Intro List Lvl 9	15	18	18			1		im			H9				
im0	P			1			Intro Mrg Parag Lvl 0 [p.sfm]	12	15	15		X	1		im			M0				
im1	P			1			Intro Mrg Parag Lvl 1 [p.sfm]	12	15	15		X	1		im			M1				
im2	P			1			Intro Mrg Parag Lvl 2 [p.sfm]	12	15	15		X	1		im			M2				
im3	P			1			Intro Mrg Parag Lvl 3 [p.sfm]	12	15	15		X	1		im			M3				
im4	P			1			Intro Mrg Parag Lvl 4 [p.sfm]	12	15	15		X	1		im			M4				
im5	P			1			Intro Mrg Parag Lvl 5 [p.sfm]	12	15	15		X	1		im			M5				
im6	P			1			Intro Mrg Parag Lvl 6 [p.sfm]	12	15	15		X	1		im			M6				
im7	P			1			Intro Mrg Parag Lvl 7 [p.sfm]	12	15	15		X	1		im			M7				
im8	P			1			Intro Mrg Parag Lvl 8 [p.sfm]	12	15	15		X	1		im			M8				
im9	P			1			Intro Mrg Parag Lvl 9 [p.sfm]	12	15	15		X	1		im			M9				
imi	P			1			Intro Mrg Parag Lvl 2	12	15	15			1		im			M2				
imq	P			1			Intro Margin Quote Par	13	16	16			1		im			M2				
imt	P			1			Intro Major Title	10	13	13			1		mt	T50	L90		VC1			
imt0	P			1			Intro Major Title Lvl 0						1		mt	T50	L80		VC1			
imt1	P			1			Intro Major Title Lvl 1	10	13	13			1		mt	T50	L70		VC1			
imt2	P			1			Intro Major Title Lvl 2	10	13	13			1		mt	T50	L60		VC1			
imt3	P			1			Intro Major Title Lvl 3	10	13	13			1		mt	T50	L50		VC1			
imt4	P			1			Intro Major Title Lvl 4	10	13	13			1		mt	T50	L40		VC1			
imt5	P			1			Intro Major Title Lvl 5	10	13	13			1		mt	T60	L30					
imt6	P			1			Intro Major Title Lvl 6	10	13	13			1		mt	T70	L10					
imt7	P			1			Intro Major Title Lvl 7	10	13	13			1		mt	T70	L10					
imt8	P			1			Intro Major Title Lvl 8	10	13	13			1		mt	T70	L08					
imt9	P			1			Intro Major Title Lvl 9	10	13	13			1		mt	T70	L08					
imte	P			1			Intro End Major Title	17	21	20			1		mt	T50	L90		VC1			
imte0	P			1			Intro End Major Title Lvl 0						1		mt	T50	L80		VC1			
imte1	P			1			Intro End Major Title Lvl 1	17	21	20			1		mt	T50	L70		VC1			
imte2	P			1			Intro End Major Title Lvl 2	17	21	20			1		mt	T50	L60		VC1			
imte3	P			1			Intro End Major Title Lvl 3	17	21	20			1		mt	T50	L50		VC1			
imte4	P			1			Intro End Major Title Lvl 4	17	21	20			1		mt	T50	L40		VC1			
imte5	P			1			Intro End Major Title Lvl 5	17	21	20			1		mt	T60	L30					
imte6	P			1			Intro End Major Title Lvl 6	17	21	20			1		mt	T70	S20					
imte7	P			1			Intro End Major Title Lvl 7	17	21	20			1		mt	T70	S10					
imte8	P			1			Intro End Major Title Lvl 8	17	21	20			1		mt	T70	S08					
imte9	P			1			Intro End Major Title Lvl 9	17	21	20			1	"LO: section ""text"" start."	rem				SPN			
io	P			1			Intro Outline	16	19	19			1		im			H1				
io0	P			1			Intro Outline Lvl 0						1		im			H0				
io1	P			1			Intro Outline Lvl 1	16	19	19			1		im			H1				
io2	P			1			Intro Outline Lvl 2	16	19	19			1		im			H2				
io3	P			1			Intro Outline Lvl 3	16	19	19			1		im			H3				
io4	P			1			Intro Outline Lvl 4	16	19	19			1		im			H4				
io5	P			1			Intro Outline Lvl 5	16	19	19			1		im			H5				
io6	P			1			Intro Outline Lvl 6	16	19	19			1		im			H6				
io7	P			1			Intro Outline Lvl 7	16	19	19			1		im			H7				
io8	P			1			Intro Outline Lvl 8	16	19	19			1		im			H8				
io9	P			1			Intro Outline Lvl 9	16	19	19			1		im			H9				
iot	P			1			Intro Outline Title	16	19	19			1		im	S70		H1				
ip	P			1			Intro Paragraph	11	14	14			1		im			P0				
ip0	P			1			Intro Paragraph Lvl 0 [p.sfm]	11	14	14			1		im			P0				
ip1	P			2			Intro Paragraph Lvl 1 [p.sfm]	11	14	14			1		im			P1				
ip2	P			3			Intro Paragraph Lvl 2 [p.sfm]	11	14	14			1		im			P2				
ip3	P			4			Intro Paragraph Lvl 3 [p.sfm]	11	14	14			1		im			P3				
ip4	P			5			Intro Paragraph Lvl 4 [p.sfm]	11	14	14			1		im			P4				
ip5	P			6			Intro Paragraph Lvl 5 [p.sfm]	11	14	14			1		im			P5				
ip6	P			7			Intro Paragraph Lvl 6 [p.sfm]	11	14	14			1		im			P6				
ip7	P			8			Intro Paragraph Lvl 7 [p.sfm]	11	14	14			1		im			P7				
ip8	P			9			Intro Paragraph Lvl 8 [p.sfm]	11	14	14			1		im			P8				
ip9	P			10			Intro Paragraph Lvl 9 [p.sfm]	11	14	14			1		im			P9				
ipi	P			1			Intro Indented Paragraph	11	14	14			1		im			P2				
ipq	P			1			Intro Indented Quote Paragraph	13	16	16			1		im			P2				
ipr	P			1			Intro Right align Paragraph	13	16	16			1		im			R0				
iq0	P			1			Intro Poetry Lvl 1						1		iq			Q0				
iq1	P			1			Intro Poetry Lvl 2						1		iq			Q1				
iq2	P			1			Intro Poetry Lvl 3						1		iq			Q2				
iq3	P			1			Intro Poetry Lvl 4						1		iq			Q3				
iq4	P			1			Intro Poetry Lvl 5						1		iq			Q4				
iq5	P			1			Intro Poetry Lvl 6						1		iq			Q5				
iq6	P			1			Intro Poetry Lvl 7						1		iq			Q6				
iq7	P			1			Intro Poetry Lvl 8						1		iq			Q7				
iq8	P			1			Intro Poetry Lvl 9						1		iq			Q8				
iq9	P			1			Intro Poetry Lvl 10						1		iq			Q9				
is	P			1			Intro Section Title	10	13	13			1		im	S90	L40	CB	VC1	KPN		
is0	P			1			Intro Section Title Lvl 0						1		im	S91	L40	CB	VC1	KPN		
is1	P			1			Intro Section Title Lvl 1	10	13	13			1		im	S70	L30	CB	VC1	KPN		
is2	P			1			Intro Section Title Lvl 2	10	13	13			1		im	S71	L30	CB	VC1	KPN		
is3	P			1			Intro Section Title Lvl 3	10	13	13			1		im	S90	S20	CB	VC1	KPN		
is4	P			1			Intro Section Title Lvl 4	10	13	13			1		im	S91	S20	CB	VC1	KPN		
is5	P			1			Intro Section Title Lvl 5	10	13	13			1		im	S90	S10	CB		KPN		
is6	P			1			Intro Section Title Lvl 6	10	13	13			1		im	S91	S10	CB		KPN		
is7	P			1			Intro Section Title Lvl 7	10	13	13			1		im	S90	S08	CB		KPN		
is8	P			1			Intro Section Title Lvl 8	10	13	13			1		im	S91	S08	CB		KPN		
is9	P			1			Intro Section Title Lvl 9	10	13	13			1		im	S91	S08	CB		SC		
k	P			1			Keyword [CB]						1		im			H0				
k0	P			1			Keyword Paragraph Lvl 0 [CB]						1		im			H0				
k1	P			1			Keyword Paragraph Lvl 1 [CB]				S		1		im			H1				
k2	P			1			Keyword Paragraph Lvl 2 [CB]				S		1		im			H2				
k3	P			1			Keyword Paragraph Lvl 3 [CB]						1		im			H3				
k4	P			1			Keyword Paragraph Lvl 4 [CB]						1		im			H4				
k5	P			1			Keyword Paragraph Lvl 5 [CB]						1		im			H5				
k6	P			1			Keyword Paragraph Lvl 6 [CB]						1		im			H6				
k7	P			1			Keyword Paragraph Lvl 7 [CB]						1		im			H7				
k8	P			1			Keyword Paragraph Lvl 8 [CB]						1		im			H8				
k9	P			1			Keyword Paragraph Lvl 9 [CB]						1		im			H9				
lf	P			1			List footer					N	1		m			P0				
lh	P			1			List Header					N	1		m							
li	P			1			List item	32	35	35	S		1		m	B70	L10	CB				
li0	P			1			List Level 0						1		m			H0				
li1	P			1			List Level 1	32	35	35	S		1		m			H1				
li2	P			1			List Level 2	32	35	35	S		1		m			H2				
li3	P			1			List Level 3	32	35	35	S		1		m			H3				
li4	P			1			List Level 4	32	35	35	S		1		m			H4				
li5	P			1			List Level 5	32	35	35			1		m			H5				
li6	P			1			List Level 6	32	35	35			1		m			H6				
li7	P			1			List Level 7	32	35	35			1		m			H7				
li8	P			1			List Level 8	32	35	35			1		m			H8				
li9	P			1			List Level 9	32	35	35			1		m			H9				
lim	P			1			Embedded List					N	1		m	B70	L10	C				
lim0	P			1			Embedded List Lvl 0					N	1		m			H0				
lim1	P			1			Embedded List Lvl 1					N	1		m			H1				
lim2	P			1			Embedded List Lvl 2					N	1		m			H2				
lim3	P			1			Embedded List Lvl 3					N	1		m			H3				
lim4	P			1			Embedded List Lvl 4					N	1		m			H4				
lim5	P			1			Embedded List Lvl 5					N	1		m			H5				
lim6	P			1			Embedded List Lvl 6					N	1		m			H6				
lim7	P			1			Embedded List Lvl 7					N	1		m			H7				
lim8	P			1			Embedded List Lvl 8					N	1		m			H8				
lim9	P			1			Embedded List Lvl 9					N	1		m			H9				
lit	P			1			Liturgical Note	50	53	53	S		1		m	B41		R0				
mi	P			1			Indented flush left Paragraph	30	33	33	S		1		m			M2				
mr	P			1			Scripture Reference Section Head	19	22	22	S		1		mt	T71	L10					
ms	P			1			Major Section Title	19	22	22	S		1		mt	S50	L40		VC1			
ms0	P			1			Major Section Title Lvl 0						1		mt	S51	L40		VC1			
ms1	P			1			Major Section Title Lvl 1	19	22	22	S		1		mt	S50	L30		VC1			
ms2	P			1			Major Section Title Lvl 2	19	22	22	S		1		mt	S51	L30		VC1			
ms3	P			1			Major Section Title Lvl 3	19	22	22	S		1		mt	S70	S20		VC1			
ms4	P			1			Major Section Title Lvl 4	19	22	22			1		mt	S71	S20		VC1			
ms5	P			1			Major Section Title Lvl 5	19	22	22			1		mt	S70	S10					
ms6	P			1			Major Section Title Lvl 6	19	22	22			1		mt	S71	S10					
ms7	P			1			Major Section Title Lvl 7	19	22	22			1		mt	S70	S08					
ms8	P			1			Major Section Title Lvl 8	19	22	22			1		mt	S71	S08					
ms9	P			1			Major Section Title Lvl 9	19	22	22			1		mt	S70	S08		SC3			
mt0	P			1			Major Title Lvl 0						1		mt	T50	L80		VC1			
mt1	P			1			Major Title Lvl 1	18	21	21	S		1		mt	T50	L70		VC1			
mt2	P			1			Major Title Lvl 2	18	21	21	S		1		mt	T50	L60		VC1			
mt3	P			1			Major Title Lvl 3	18	21	21	S		1		mt	T50	L50		VC1			
