[p.sfm] v2212	Sort	S	M	P	F	C	Description	U2.3	U2.35	U2.4	U2.404	U3.0	V2211	Special	Base	Face	Vert	Horz	Extra	X2	.	Example
mt4	P			1			Major Title Lvl 4	18	21	21	S		1		mt	T70	L40		VC1			
mt5	P			1			Major Title Lvl 5	18	21	21			1		mt	T60	L30					
mt6	P			1			Major Title Lvl 6	18	21	21			1		mt	T70	L20					
mt7	P			1			Major Title Lvl 7	18	21	21			1		mt	T70	L10					
mt8	P			1			Major Title Lvl 8	18	21	21			1		mt	T70	L08					
mt9	P			1			Major Title Lvl 9	18	21	21			1		mt	T71	L08					
mte	P			1			End Title	18	21	21	S		1		mt	T50	L90		VC1			
mte0	P			1			End Title Lvl 0						1		mt	T50	L80		VC1			
mte1	P			1			End Title Lvl 1	18	21	21	S		1		mt	T50	L70		VC1			
mte2	P			1			End Title Lvl 2	18	21	21	S		1		mt	T50	L60		VC1			
mte3	P			1			End Title Lvl 3	18	21	21			1		mt	T50	L50		VC1			
mte4	P			1			End Title Lvl 4	18	21	21			1		mt	T70	L40		VC1			
mte5	P			1			End Title Lvl 5	18	21	21			1		mt	T70	L30					
mte6	P			1			End Title Lvl 6	18	21	21			1		mt	T70	S20					
mte7	P			1			End Title Lvl 7	18	21	21			1		mt	T70	S10					
mte8	P			1			End Title Lvl 8	18	21	21			1		mt	T70	S08					
mte9	P		1	1			End of Book/Section [p.sfm]	18	21	21			1	span to balance cols	rem				SPN			
nb	P			1			No break-no whitespace Paragraph	31	34	34	S		1		m			M0	KP1			
p	P			1			Paragraph	27	30	30	S		1		m			P0				
p0	P			1			Paragraph Indented Lvl 0						1		m			P05				
p1	P			1			Paragraph Indented Lvl 1				S		1		m			P1				
p2	P			1			Paragraph Indented Lvl 2				S		1		m			P2				
p3	P			1			Paragraph Indented Lvl 3						1		m			P3				
p4	P			1			Paragraph Indented Lvl 4						1		m			P4				
p5	P			1			Paragraph Indented Lvl 5						1		m			P5				
p6	P			1			Paragraph Indented Lvl 6						1		m			P6				
p7	P			1			Paragraph Indented Lvl 7						1		m			P7				
p8	P			1			Paragraph Indented Lvl 8						1		m			P8				
p9	P			1			Paragraph Indented Lvl 9						1		m			P9				
pb	P			1			Page Break	53	56	56	S		1		rem				SPN	PB		
pc	P			1			Centered Paragraph	32	35	35	S		1		m			C				
ph	P			1			Hanging Indent Paragraph	33	36	36	D		1		m			H1				
ph0	P			1			Hanging Indent Par Lvl 0	33	36				1		m			H0				
ph1	P			1			Hanging Indent Par Lvl 1	33	36	36	D		1		m			H1				
ph2	P			1			Hanging Indent Par Lvl 2	33	36	36	D		1		m			H2				
ph3	P			1			Hanging Indent Par Lvl 3	33	36	36	D		1		m			H3				
ph4	P			1			Hanging Indent Par Lvl 4	33	36	36			1		m			H4				
ph5	P			1			Hanging Indent Par Lvl 5	33	36	36			1		m			H5				
ph6	P			1			Hanging Indent Par Lvl 6	33	36	36			1		m			H6				
ph7	P			1			Hanging Indent Par Lvl 7	33	36	36			1		m			H7				
ph8	P			1			Hanging Indent Par Lvl 8	33	36	36			1		m			H8				
ph9	P			1			Hanging Indent Par Lvl 9	33	36	36			1		m			H9				
pi	P			1			Indented Paragraph	30	33	33	S		1		m			P1				
pi0	P			1			Indented Paragraph Lvl 0						1		m			P1				
pi1	P			1			Indented Paragraph Lvl 1	30	33	33	S		1		m			P2				
pi2	P			1			Indented Paragraph Lvl 2	30	33	33	S		1		m			P3				
pi3	P			1			Indented Paragraph Lvl 3	30	33	33	S		1		m			P4				
pi4	P			1			Indented Paragraph Lvl 4	30	33	33			1		m			P5				
pi5	P			1			Indented Paragraph Lvl 5	30	33	33			1		m			P6				
pi6	P			1			Indented Paragraph Lvl 6	30	33	33			1		m			P7				
pi7	P			1			Indented Paragraph Lvl 7	30	33	33			1		m			P8				
pi8	P			1			Indented Paragraph Lvl 8	30	33	33			1		m			P9				
pi9	P			1			Indented Paragraph Lvl 9	30	33	33			1		m			P9				
pm	P			1			Embedded Paragraph	28	31	31	S		1		m			P2				
pmc	P			1			Embedded Text Closing	29	32	32	S		1		m			M1				
pmo	P			1			Embedded Text Opening	28	31	31	S		1		m			M1				
pmr	P			1			Embedded Text Right Align Par	29	32	32	S		1		m			R1				
po	P			1			Opening Paragraph-letter					N	1		m				VC1			
pr	P			1			Right Aligned Paragraph	32	35	35	D		1		m			R0				
ps	P			1			Paragraph No Break				O		1		m			M	KP1			
psi	P			1			Paragraph Indented No Break				O		1		m			P1	KP1			
q0	P			1			Poetry Level 0						1		q			Q0				
q1	P			1			Poetry Level 1	34	37	37	S		1		q			Q1				
q2	P			1			Poetry Level 2	34	37	37	S		1		q			Q2				
q3	P			1			Poetry Level 3	34	37	37	S		1		q			Q3				
q4	P			1			Poetry Level 4	34	37	37	S		1		q			Q4				
q5	P			1			Poetry Level 5	34	37	37			1		q			Q5				
q6	P			1			Poetry Level 6	34	37	37			1		q			Q6				
q7	P			1			Poetry Level 7	34	37	37			1		q			Q7				
q8	P			1			Poetry Level 8	34	37	37			1		q			Q8				
q9	P			1			Poetry Level 9	34	37	37			1		q			Q9				
qa	P			1			Acrostic Heading	36	39	39	S		1		mt	T50	S20		VC1			
qc	P			1			Poetry Centered	35	38	38	S		1		q			C				
qd	P			1			Poetry directive-Habakkuk					N	1		m	B61	L08	CB				
qm	P			1			Embedded Poetry	37	40	40	S		1		q	B41		C				
qm0	P			1			Embedded Poetry Lvl 0						1		q	B41		Q0				
qm1	P			1			Embedded Poetry Lvl 1	37	40	40	S		1		q	B41		Q1				
qm2	P			1			Embedded Poetry Lvl 2	37	40	40	S		1		q	B41		Q2				
qm3	P			1			Embedded Poetry Lvl 3	37	40	40	S		1		q	B41		Q3				
qm4	P			1			Embedded Poetry Lvl 4	37	40	40			1		q	B41		Q4				
qm5	P			1			Embedded Poetry Lvl 5	37	40	40			1		q	B41		Q5				
qm6	P			1			Embedded Poetry Lvl 6	37	40	40			1		q	B41		Q6				
qm7	P			1			Embedded Poetry Lvl 7	37	40	40			1		q	B41		Q7				
qm8	P			1			Embedded Poetry Lvl 8	37	40	40			1		q	B41		Q8				
qm9	P			1			Embedded Poetry Lvl 9	37	40	40			1		q	B41		Q9				
qr	P			1			Poetry Right Aligned	34	35	37	S		1		q	B41		R1				
r	P			1			Scripture Reference Section Break	21	24	24	S		1		m	T71	L08	CB	VS1	KPN		
s	P			1			Section Title	20	23	23	S		1		m	T70	L30	CB	VC1	KPN		
s0	P			1			Section Heading Lvl 0						1		m	T71	L30	CB	VC1	KPN		
s1	P			1			Section Heading Lvl 1	20	23	23	S		1		m	T30	S20	CB	VC1	KPN		
s2	P			1			Section Heading Lvl 2	20	23	23	S		1		m	T31	S20	CB	VC1	KPN		
s3	P			1			Section Heading Lvl 3	20	23	23	S		1		m	T70	S10	CB		KPN		
s4	P			1			Section Heading Lvl 4	20	23	23	S		1		m	T71	S10	CB		KPN		
s5	P			1			Section Heading Lvl 5	20	23	23			1		m	T70	S08	CB		KPN		
s6	P			1			Section Heading Lvl 6	20	23	23			1		m	T71	S08	CB		KPN		
s7	P			1			Section Heading Lvl 7	20	23	23			1		m	T70	S08	CB		SC		
s8	P			1			Section Heading Lvl 8	20	23	23			1		m	B70	S08	CB		KPN		
s9	P			1			Section Heading Lvl 9	20	23	23			1		m	B71	S08	CB		KPN		
sd	P			1			Semantic Division					N	1		rem		R00					
sd0	P			1			Semantic Division Lvl 0					N	1		rem		R05					
sd1	P			1			Semantic Division Lvl 1					N	1		rem		B10					
sd2	P			1			Semantic Division Lvl 2					N	1		rem		B20					
sd3	P			1			Semantic Division Lvl 3					N	1		rem		B30					
sd4	P			1			Semantic Division Lvl 4					N	1		rem		B40					
sd5	P			1			Semantic Division Lvl 5					N	1		rem		B50					
sd6	P			1			Semantic Division Lvl 6					N	1		rem		B60					
sd7	P			1			Semantic Division Lvl 7					N	1		rem		B70					
sd8	P			1			Semantic Division Lvl 8					N	1		rem		B80					
sd9	P			1			Semantic Division Lvl 9					N	1		rem		B90					
sp	P			1			Speaker Identification	22	25	25	S		1		m	B41	L10	M0				
sr	P			1			Section Verse Range	21	24	24	S		1		m	T71	L08	CB	VS1	KPN		
ef ... ef*	F				1		Extended Footnote	74	81	83			1	Convert to Footnote	f	C41	F10	M				
ex ... ex*	F				1		Cross Reference-extended	76	83	85			0.5	Convert to Footnote	f							
fdc ... fdc*	F				1		Footnote-Deuterocanon	42	45	46			1	Convert to footnote (exclude if not DC)	f							
fe ... fe*	F				1		Endnote	41	44	44			0.5	Convert to Footnote	f	C47						
fp ...  fp*	F				1		Footnote paragraph	42	45	45			1		f	C40		P1				
fs ...  fs*	F				1		Footnote Summary	76	D				1		f	C70		CB				
x ... x*	F				1		Cross Reference	45	48	48			0.5	Convert to footnote	f							
xdc ... xdc*	F				1		Cross Reference to Dueterocanon	46	49	49			0.5	Convert to footnote	f							
xnt ... xnt*	F				1		Cross Reference to NT	46	49	49			0.5	Convert to footnote	f							
xot ... xot*	F				1		Cross Reference to OT	46	49	49			0.5	Convert to footnote	f							
- [ ... ]	C					1	Invisible Footnote marker	41	44	44			1				R00		Clear			
+ [ ... ]	C					1	Footnote marker	41	44	44			1			S71			SUP			
add ... add*	C					1	Added words	49	52	52			1			B41						
addpn ... addpn*	C					1	Added words	49	52	52			1			B41						
bd ... bd*	C					1	Bold	53	56	56			1			B70						
bdit ... bdit*	C					1	Bold Italics	53	56	56			1			B71						
bk ... bk*	C					1	Book Title	49	52	52			1			B41						
ca ... ca*	C					1	Alternate Chapter Number	23	26	26			1			S70	L10					
dc ... dc*	C					1	Text Quotation of Deuterocanon	49	52	52			1			B41						
em ... em*	C					1	Emphasis	53	56	56			1			B71						
fk ... fk*	C					1	Footnote Keyword	42	45	45			1			C76						
fl ... fl*	C					1	Footnote Label	42	45	45			1			C77						
fm ... fm*	C					1	Fake Footnote Marker in text	43	46	46			1			C77			SUP			
fq ... fq*	C					1	Footnote Quotation 	42	45	45			1			C47						
fqa ... fqa*	C					1	Footnote Alternate Quote 	42	45	45			1			C47						
fr ... fr*	C					1	Footnote Backreference	42	45	45			1			C77						
ft ... ft*	C					1	Footnote Text 	42	45	45			1			C46						
fv ... fv*	C					1	Footnote Verse Marker	42	45	48			1			C76			SUP			
fw ... fw*	C					1	Footnote Witness Label	42	45	48			1			C71						
ior ... ior*	C					1	Intro Outline Reference	16	19	19			1			S41						
iqt ... iqt*	C					1	Intro Quoted Text	16	19	19			1			S41						
it ... it*	C					1	Italics	53	56	56			1			B41						
k ... k*	C					1	Keyword Key Term			52			1	signal in glossary		B70						
lik ... lik*	C					1	List Key Term					N	1									
litl ... litl*	C					1	List Total					N	1	sum								
liv ... liv*	C					1	List Value					N	1									
liv0 ... liv0*	C					1	List Value 0					N	1									
liv1 ... liv1*	C					1	List Item Number 1					N	1									
liv2 ... liv2*	C					1	List Item Number 2					N	1									
liv3 ... liv3*	C					1	List Item Number 3					N	1									
liv4 ... lIv4*	C					1	List Item Number 4					N	1									
liv5 ... lIv5*	C					1	List Item Number 5					N	1									
liv6 ... lIv6*	C					1	List Item Number 6					N	1									
lIv7 ... lIv7*	C					1	List Item Number 7					N	1									
lIv8 ... lIv8*	C					1	List Item Number 8					N	1									
liv9 ... lIv9*	C					1	List Item Number 9					N	1									
nd ... nd*	C					1	Name of Diety	50	53	53			1						SC			
ndx ... ndx*	C					1	Indexed Word 	55	58	58			1						UND			
no ... no*	C					1	Normal Text	53	56	56			1			B40						
ord ... ord*	C					1	Ordinal	50	53	56			1						SUP			
pn ... pn*	C					1	Proper Name of Person	50	53	53			1									
png ... png*	C					1	Proper Name of Geography	50	53	53		N	1									
pro ... pro*	C					1	Pronunciation	55	58	58			1									
qac ... qac*	C					1	Inline Acrostic	36	39	39			1			B60			T75			
qt ... qt*	C					1	Quoted Text	51	54	54			1			B41						
rb ... rb*	C					1	Ruby Base					N	1									
rq ... rq*	C					1	Inline Reference	21	24	24			1	 (in body text)		B41						
rt ... rt*	C					1	Ruby Annotation					N	1						SUP			
sc ... sc*	C					1	Small Caps	53	56	56			1						SC			
sig ... sig*	C					1	Signature	51	54	54			1			B41						
sls ... sls*	C					1	Text is Alt Language	52	55	55			1									
sup ... sup*	C					1	Superscript	52	55	55			1						SUP			
tl ... tl*	C					1	Transliterated or Foreign word	52	55	55			1									
va ... va*	C					1	Alternate Verse Number	25	28	28			1	?? (REPLACE OR DUAL?)		C77			SUP	FPL		
w ... w*	C					1	Wordlist Marker	55	58	58			1									
wa ... wa*	C					1	Aramaic Wordlist Marker					N	1									
wg ... wg*	C					1	Greek Wordlist Marker	55	58	58			1									
wh ... wh*	C					1	Hebrew Word List Marker	55	58	58			1									
wj ... wj*	C					1	Words of Jesus	52	55	55			1						WOC			
wr ... wr*	C					1	Auxiliary Wordlist entry				O		1									
xk ... xk*	C					1	Cross Reference Keyword	46	49	49			1			C76						
xo ... xo*	C					1	Cross Reference Origin	46	49	49			1			C77						
xop ... xop*	C					1	Published Cross Reference Origin	46	49	49			1			C77						
xq ... xq*	C					1	Cross Reference Quote	46	49	49			1			C47						
xt ... xt*	C					1	Cross Reference Target	46	49	49			1			C46						
xta ... xta*	C					1	Cross Reference Additional Text	46	49	49		N	1			C46						
tc0	A			1			Table Hand Left						1			V50	L10	M0				
tc1	A			1			Table Hand Cursive Left						1			V51	L10	M0				
tc2	A			1			Table Text Light Left						1			B30	L10	M0				
tc3	A			1			Table Text Light Italic Left						1			B31	L10	M0				
tc4	A			1			Table Text Regular Left						1			B40	L10	M0				
tc5	A			1			Table Text Regular Italic Left						1			B41	L10	M0				
tc6	A			1			Table Text Bold Left						1			B70	L10	M0				
tc7	A			1			Table Text Bold Italic Left						1			B71	L10	M0				
tc8	A			1			Table Text Heavy Left						1			B90	L10	M0				
tc9	A			1			Table Text Heavy Italic Left						1			B91	L10	M0				
tcc0	A			1			Table Hand Center						1			V50	L10	C				
tcc1	A			1			Table Hand Cursive Center				S		1			V51	L10	C				
tcc2	A			1			Table Text Light Center				S		1			B30	L10	C				
tcc3	A			1			Table Text Light Italic Center				S		1			B31	L10	C				
tcc4	A			1			Table Text Regular Center				S		1			B40	L10	C				
tcc5	A			1			Table Text Regular Italic Center				S		1			B41	L10	C				
tcc6	A			1			Table Text Bold Center				S		1			B70	L10	C				
tcc7	A			1			Table Text Bold Italic Center				S		1			B71	L10	C				
tcc8	A			1			Table Text Heavy Center				S		1			B90	L10	C				
tcc9	A			1			Table Text Heavy Italic Center				S		1			B91	L10	C				
tcr0	A			1			Table Hand Right						1			V50	L10	R0				
tcr1	A			1			Table Hand Cursive Right						1			V51	L10	R0				
tcr2	A			1			Table Text Light Right						1			B30	L10	R0				
tcr3	A			1			Table Text Light Italic Right						1			B31	L10	R0				
tcr4	A			1			Table Text Regular Right						1			B40	L10	R0				
tcr5	A			1			Table Text Regular Italic Right						1			B41	L10	R0				
tcr6	A			1			Table Text Bold Right						1			B70	L10	R0				
tcr7	A			1			Table Text Bold Italic Right						1			B71	L10	R0				
tcr8	A			1			Table Text Heavy Right						1			B90	L10	R0				
tcr9	A			1			Table Text Heavy Italic Right						1			B91	L10	R0				
th0	A			1			Table Hand Bold Left						1			V70	L10	M				
th1	A			1			Table Hand Cursive Bold Left						1			V71	L10	M				
th2	A			1			Table Head Light Left						1			T30	L10	M				
th3	A			1			Table Head Light Italic Left						1			T31	L10	M				
th4	A			1			Table Head Regular Left						1			T40	L10	M				
th5	A			1			Table Head Regular Italic Left						1			T41	L10	M				
th6	A			1			Table Head Bold Left						1			T70	L10	M				
th7	A			1			Table Head Bold Italic Left						1			T71	L10	M				
th8	A			1			Table Head Heavy Left						1			T90	L10	M				
th9	A			1			Table Head Heavy Italic Left						1			T91	L10	M				
thc0	A			1			Table Hand Cursive Center						1			V70	L10	C				
thc1	A			1			Table Hand Cursive Bold Center						1			V71	L10	C				
thc2	A			1			Table Head Light Center						1			T30	L10	C				
thc3	A			1			Table Head Light Italic Center						1			T31	L10	C				
thc4	A			1			Table Head Regular Center						1			T40	L10	C				
thc5	A			1			Table Head Regular Italic Center						1			T41	L10	C				
thc6	A			1			Table Head Bold Center						1			T70	L10	C				
thc7	A			1			Table Head Bold Italic Center						1			T71	L10	C				
thc8	A			1			Table Head Heavy Center						1			T90	L10	C				
thc9	A			1			Table Head Heavy Italic Center						1			T91	L10	C				
thr0	A			1			Table Hand Cursive Right						1			V70	L10	R0				
thr1	A			1			Table Hand Cursive Bold Right						1			V71	L10	R0				
thr2	A			1			Table Head Light Right						1			T30	L10	R0				
thr3	A			1			Table Head Light Italic Right						1			T31	L10	R0				
thr4	A			1			Table Head Regular Right						1			T40	L10	R0				
thr5	A			1			Table Head Regular Italic Right						1			T41	L10	R0				
thr6	A			1			Table Head Bold Right						1			T70	L10	R0				
thr7	A			1			Table Head Bold Italic Right						1			T71	L10	R0				
thr8	A			1			Table Head Heavy Right						1			T90	L10	R0				
thr9	A			1			Table Head Heavy Italic Right						1			T91	L10	R0				
tr	A			1			New Table-row	39	42	42	S		0.8		m			C				
tr0	A			1			Table Row Type 0 [p.sfm]						0.8		m			M0				
tr1	A			1			Table Row Type 1 [p.sfm]	39	42	42	S		0.8		m			M1				
tr2	A			1			Table Row Type 2 [p.sfm]	39	42	42	S		0.8		m			M2				
tr3	A			1			Table Row Type 3 [p.sfm]	39	42	42	S		0.8		m			M3				
tr4	A			1			Table Row Type 4 [p.sfm]	39	42	42	S		0.8		m			M4				
tr5	A			1			Table Row Type 5 [p.sfm]	39	42	42	S		0.8		m			M5				
tr6	A			1			Table Row Type 6 [p.sfm]	39	42	42	S		0.8		m			M6				
tr7	A			1			Table Row Type 7 [p.sfm]	39	42	42	S		0.8		m			M7				
tr8	A			1			Table Row Type 8 [p.sfm]	39	42	42	S		0.8		m			M8				
tr9	A			1			Table Row Type 9 [p.sfm]	39	42	42	S		0.8		m			M9				
Footer	 Y			1			Footer Text [LO]							LO Autostyle	mt	T70	L08		AC	T3		
Header	 Y			1			Header Text [LO]							LO Autostyle	mt	T70	L08		AC	T3		
ibd … ibd*	 X					1	Sans Bold [p.sfm]						1	PSFM		S70						
iem … iem*	 X					1	Sans Bold Italic [p.sfm]						1	PSFM		S71						
ino … ino*	 X					1	Sans Text [p.sfm]						1	PSFM		S40						
isb … isb*	 X					1	Sans Semibold [p.sfm]						1	PSFM		S60						
iti … iti*	 X					1	Sans Italic [p.sfm]						1	PSFM		S41						
n ... n*	 X					1	Handwritten Note [p.sfm]						1	PSFM		V50						
nh ... nh*	 X					1	Handwritten Note Heavy [p.sfm]						1	PSFM		V70						
nl ... nl*	 X					1	Handwritten Note Light [p.sfm]						1	PSFM		V30						
qt-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt0-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt0-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt1-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt1-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt2-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt2-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt3-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt3-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt4-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt4-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt5-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt5-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt6-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt6-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt7-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt7-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt8-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt8-s ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt9-e ...*	 U	1	1			1	quotation speaker info					N	0.25				R00		Clear			
qt9-s ...*	 U	1	1			1	quotation speaker info					N	0.25	rem			R00		Clear			
restore (&)	 S	1	1				Restore Information 						0.5		rem							
xtSee	 S			1			See other listing paragraph [CB]						0.5		rem							
xtSeeAlso	 S			1			See other listing paragraph [CB]						0.5		rem							
zpa-b	 S	1	1				Book  [PA]				S		0.5		rem							
zpa-c	 S	1	1				Chapter [PA]				S		0.5		rem							
zpa-d	 S	1	1				Description [PA]				S		0.5		rem							
zpa-v	 S	1	1				Verse [PA]				S		0.5		rem							
conc (&)	 A		1	1			OBSOLETE Concordance division	9	9	9	S		0		rem							
cov (&)	 A		1	1			OBSOLETE Cover division				S		0		rem							
esb (&)	 A		1	1			Study Bible Sidebar Start		84	86			0		rem							
esbe (&)	 A		1	1			Study Bible Sidebar End		84	86			0		rem							
glo (&)	 A		1	1			OBSOLETE Glossary division				S		0		rem							
idx (&)	 A		1	1			OBSOLETE Index division				O		0		rem							
intro (&)	 A		1	1			OBSOLETE Introduction division				O		0		rem							
maps (&)	 A		1	1			OBSOLETE Maps division				O		0		rem							
pref (&)	 A		1	1			OBSOLETE Preface division				O		0		rem							
pub (&)	 A		1	1			OBSOLETE Publication division				O		0		rem							
pubinfo (&)	 A		1	1			OBSOLETE Publication Information div				O		0		rem							
spine (&)	 A		1	1			OBSOLETE Spine 						0		rem							
zz																						
zz																						
